iter	Logloss
0	0.689479461611	0.686634500122	0.683354765333	0.680134544844	0.677623685655	0.673744531266	0.6706751939
7	0.6683141855
8	0.6641384253
9	0.6611605761
10	0.6575227112
11	0.6551784378
12	0.6522462325
13	0.6493215818
14	0.6467903976
15	0.6440595791
16	0.6411046464
17	0.6383419113
18	0.6358168556
19	0.6333714866
20	0.6303226545
21	0.628008267
22	0.6254978566
23	0.6227156114
24	0.6199424155
25	0.6173408846
26	0.6151143746
27	0.6129603184
28	0.6112208223
29	0.6088971875
30	0.6065518247
31	0.6042632351
32	0.6016571392
33	0.5994520824
34	0.6030728963535	0.6009470055
36	0.5992019833737	0.597216693338	0.5907065213939	0.5885318465
40	0.5863765958
41	0.5844622079
442	0.587689658443	0.5813892992
44	0.5798105344
45	0.5819631562
46	0.580271301
47	0.578497774
4848	0.57280164349	0.5748635232
50	0.573438777
51	0.5715726371
52	0.5699062837
53	0.5680003658
54	0.5662628047
55	0.5647204534
56	0.5628492382
57	0.561134178
58	0.5600197681
59	0.55821959
60	0.5562724745
61	0.561	0.5504762	0.562	0.5490663	0.563	0.547764	0.5564	0.546465	0.5465	0.544566	0.5466	0.5429667	0.567	0.5412668	0.568	0.5401469	0.569	0.5387293976
70	0.537871	0.5471	0.5369632071
72	0.5355039877
73	0.5342669162
74	0.5329618462
75	0.5318329376
76	0.5302915487
77	0.5289556549
78	0.5273831345
79	0.5263684777
80	0.5249311964
81	0.523382656
82	0.5222483	0.583	0.521265294
84	0.5197542363
85	0.5186298348
86	0.5174459899
87	0.5164513382
88	0.515227687
89	0.5141108437
90	0.5129991	0.91	0.51184792	0.92	0.51074793	0.93	0.5096594	0.5015538814
95	0.5003549578
96	0.4993832884
97	0.4981852802
98	0.4974877571
99	0.4962610906
100	0.4952608127
101	0.4943504339
102	0.4933704617
103	0.4924935708
104	0.491659797
105	0.4905387772
106	0.489388986
1107	0.5006548091108	0.487685021
109	0.4864301328
110	0.4855598871
111	0.4847469875
112	0.4839436751
113	0.4825822475
1114	0.4935463094115	0.4808766427
116	0.4799258645
117	0.4905828488
118	0.4898082271
119	0.477179154
120	0.4764886323
1121	0.487162325
122	0.4862523465
123	0.47370361612124	0.47253795412125	0.47152076126126	0.47061207127127	0.4696818302
128	0.4688197155
129	0.4679251689
130	0.4668379883
131	0.46588406
132	0.4649689393
133	0.4640176354
134	0.4627895398
135	0.4617615393
136	0.4608097254
137	0.460189626
138	0.4593810595
139	0.4585672353
140	0.4577095034
141	0.4568899091
142	0.4560701233
143	0.4550926748
144	0.4543170703
145	0.4534182689
146	0.4526492094
147	0.4519819233
148	0.4511074834
149	0.4504096458
150	0.4497379429
151	0.4490016528
152	0.4481742585
153	0.4471164421
154	0.4463410081
155	0.4456626422
156	0.4447876371
157	0.4440156632
158	0.4433800915
159	0.442598732
160	0.4418139404
161	0.4409168791
162	0.440370399
163	0.4397638594
164	0.4392067446
165	0.4385781297
166	0.4378854352
167	0.4371340658
168	0.4363712719
169	0.4356605007
