iter	Passed	Remaining
0	6	6355
1	11	596522	15	529433	24	6086
4	31	6204
5	36	6032
6	47	6732
7	53	6575
8	58	6406
9	66	6579
10	70	6378
11	79	6529
12	85	6503
13	93	6564
14	95	6256
15	101	6228
16	108	6284
17	114	6258
18	123	6360
19	130	6412
20	135	6313
21	138	6172
22	145	6200
23	152	6201
24	155	6078
25	160	6019
26	165	5955
27	170	5914
28	176	5903
29	180	5828
30	186	5820
31	193	5864
32	197	5798
33	200	57034	218	6010
35	228	6110
36	231	6024
37	235	5956
3838	229	5643939	238	5714040	246	5764141	252	57642	266	5923
4343	260	5664444	265	56245	281	5841
46	286	5815
47	294	5850
4848	287	55849	307	5835
50	312	5815
51	316	5770
52	321	5746
53	330	5798
54	335	5759
55	338	5702
56	345	5724
57	355	5767
58	365	5830
59	369	5792
60	371	5723
6161	365	5536262	373	5556363	379	5556464	388	5596565	392	5546666	398	5546767	403	5526868	413	5584
69	420	5582
70	422	5527171	430	5553
72	436	5544
73	442	5542
74	452	5576
75	460	5600
76	463	5550
77	468	5535
78	472	5510
79	477	5490
80	483	5481
81	492	5518
82	497	5495
83	506	5519
84	510	5493
85	516	5485
86	524	5507
87	530	5502
88	535	5479
89	541	5473
90	543	5429191	550	5439292	555	5429393	563	54294	594	5668
95	604	5695
96	612	5703
97	618	5688
98	624	5682
99	631	5685
100	635	5660
101	642	5659
102	644	5614
103	655	5647
104	659	5622
105	665	5616
106	672	5608
1107	663	5480108	684	5594
109	693	5608
110	697	5588
111	706	5605
112	714	5607
113	716	5567
1114	709	5457115	726	5540
116	733	5535
1117	726	54271118	731	5414119	750	5501
120	753	5473
1121	748	53871122	750	5351123	767	5425
124	772	5409
125	778	5400
126	784	5390
127	791	5390
128	799	5399
129	804	5386
130	811	5385
131	815	5359
132	825	5381
133	830	5366
134	837	5365
135	841	5342
136	847	5339
137	852	5324
138	858	5318
139	864	5312
140	868	5290
141	872	5273
142	880	5279
143	888	5280
144	892	5260
145	898	5257
146	905	5253
147	907	5223
148	914	5222
149	917	5197
150	923	5190
151	928	5182
152	934	5173
153	946	5202
154	954	5203
155	960	5195
156	965	5183
157	970	5170
158	977	5170
159	981	5154
160	989	5158
161	994	5145
162	996	5119
163	999	5094
164	1007	5100
165	1016	5107
166	1025	5117
167	1032	5115
168	1038	5105
169	1042	5091
170	1051	5097
171	1057	5088
172	1065	5091
173	1076	5111
174	1080	5092
175	1088	5095
176	1090	5069
177	1091	5038
178	1096	5028
179	1100	5011
180	1109	5021
181	1117	5024
182	1128	5036
183	1132	5022
184	1139	5018
185	1150	5034
186	1159	5041
187	1166	5037
188	1174	5041
189	1180	5032
190	1184	5018
191	1191	5014
192	1196	5002
193	1202	4994
194	1207	4984
195	1211	4970
196	1216	4960
197	1222	4949
198	1227	4939
199	1234	4939
200	1241	4935
201	1248	4932
202	1255	4930
203	1258	4911
204	1267	4916
205	1274	4910
206	1282	4911
207	1288	4907
208	1292	4892
209	1296	4878
210	1300	4864
211	1307	4860
212	1314	4856
213	1319	4847
214	1326	4842
215	1332	4835
216	1335	4820
217	1339	4803
218	1345	4798
219	1351	4790
220	1355	47221221	1362	4776
222	1370	4775
223	1380	4783
224	1383	4766
225	1393	4771
226	1399	4767
227	1403	4751
228	1410	4749
229	1420	4756
